id,name,lat,long,dock_count,city,installation_date,cluster_id,lat_C,long_C
41,Clay at Battery,37.795001,-122.39997,15,San Francisco,8/19/2013,0,37.79796538,-122.4019953
42,Davis at Jackson,37.79728,-122.398436,15,San Francisco,8/19/2013,0,37.79796538,-122.4019953
45,Commercial at Montgomery,37.794231,-122.402923,15,San Francisco,8/19/2013,0,37.79796538,-122.4019953
46,Washington at Kearney,37.795425,-122.404767,15,San Francisco,8/19/2013,0,37.79796538,-122.4019953
47,Post at Kearney,37.788975,-122.403452,19,San Francisco,8/19/2013,4,37.7878425,-122.3997787
48,Embarcadero at Vallejo,37.799953,-122.398525,15,San Francisco,8/19/2013,0,37.79796538,-122.4019953
49,Spear at Folsom,37.790302,-122.390637,19,San Francisco,8/20/2013,5,37.79221733,-122.3936728
50,Harry Bridges Plaza (Ferry Building),37.795392,-122.394203,23,San Francisco,8/20/2013,5,37.79221733,-122.3936728
51,Embarcadero at Folsom,37.791464,-122.391034,19,San Francisco,8/20/2013,5,37.79221733,-122.3936728
39,Powell Street BART,37.783871,-122.408433,19,San Francisco,8/25/2013,1,37.7842826,-122.4077546
54,Embarcadero at Bryant,37.787152,-122.388013,15,San Francisco,8/20/2013,2,37.78331233,-122.3903463
55,Temporary Transbay Terminal (Howard at Beale),37.789756,-122.394643,23,San Francisco,8/20/2013,5,37.79221733,-122.3936728
56,Beale at Market,37.792251,-122.397086,19,San Francisco,8/20/2013,5,37.79221733,-122.3936728
57,5th at Howard,37.781752,-122.405127,15,San Francisco,8/21/2013,1,37.7842826,-122.4077546
58,San Francisco City Hall,37.77865,-122.418235,19,San Francisco,8/21/2013,3,37.77785375,-122.4182943
59,Golden Gate at Polk,37.781332,-122.418603,23,San Francisco,8/21/2013,3,37.77785375,-122.4182943
60,Embarcadero at Sansome,37.80477,-122.403234,15,San Francisco,8/21/2013,0,37.79796538,-122.4019953
61,2nd at Townsend,37.780526,-122.390288,27,San Francisco,8/22/2013,2,37.78331233,-122.3903463
62,2nd at Folsom,37.785299,-122.396236,19,San Francisco,8/22/2013,4,37.7878425,-122.3997787
63,Howard at 2nd,37.786978,-122.398108,19,San Francisco,8/22/2013,4,37.7878425,-122.3997787
64,2nd at South Park,37.782259,-122.392738,15,San Francisco,8/22/2013,2,37.78331233,-122.3903463
65,Townsend at 7th,37.771058,-122.402717,15,San Francisco,8/22/2013,6,37.77475833,-122.3978157
66,South Van Ness at Market,37.774814,-122.418954,19,San Francisco,8/23/2013,3,37.77785375,-122.4182943
67,Market at 10th,37.776619,-122.417385,27,San Francisco,8/23/2013,3,37.77785375,-122.4182943
68,Yerba Buena Center of the Arts (3rd @ Howard),37.784878,-122.401014,19,San Francisco,8/23/2013,4,37.7878425,-122.3997787
69,San Francisco Caltrain 2 (330 Townsend),37.7766,-122.39547,23,San Francisco,8/23/2013,6,37.77475833,-122.3978157
70,San Francisco Caltrain (Townsend at 4th),37.776617,-122.39526,19,San Francisco,8/23/2013,6,37.77475833,-122.3978157
71,Powell at Post (Union Square),37.788446,-122.408499,19,San Francisco,8/23/2013,1,37.7842826,-122.4077546
72,Civic Center BART (7th at Market),37.781039,-122.411748,23,San Francisco,8/23/2013,1,37.7842826,-122.4077546
73,Grant Avenue at Columbus Avenue,37.798522,-122.407245,15,San Francisco,8/21/2013,0,37.79796538,-122.4019953
74,Steuart at Market,37.794139,-122.394434,23,San Francisco,8/25/2013,5,37.79221733,-122.3936728
75,Mechanics Plaza (Market at Battery),37.7913,-122.399051,19,San Francisco,8/25/2013,4,37.7878425,-122.3997787
76,Market at 4th,37.786305,-122.404966,19,San Francisco,8/25/2013,1,37.7842826,-122.4077546
77,Market at Sansome,37.789625,-122.400811,27,San Francisco,8/25/2013,4,37.7878425,-122.3997787
82,Broadway St at Battery St,37.798541,-122.400862,15,San Francisco,1/22/2014,0,37.79796538,-122.4019953
